Borough,F1,Neighborhood Latitude,Neighborhood Longitude,Neighborhood,Number of Records,Venue Category,Venue Latitude,Venue Longitude,Venue
Bronx,48,40.836623011,-73.926102094,"High  Bridge, Bronx",1,Pizza Place,40.835872840,-73.920990720,Domino's Pizza
Bronx,49,40.836623011,-73.926102094,"High  Bridge, Bronx",1,Pizza Place,40.838029016,-73.926151183,Anthony's Pizzeria
Bronx,50,40.819754371,-73.909421608,"Melrose, Bronx",1,Pizza Place,40.816248,-73.910317,Pizza Hut
Bronx,51,40.819754371,-73.909421608,"Melrose, Bronx",1,Pizza Place,40.819825818,-73.913595597,Domino's Pizza
Bronx,52,40.819754371,-73.909421608,"Melrose, Bronx",1,Pizza Place,40.820126,-73.912712,Little Caesars Pizza
Bronx,53,40.806238749,-73.916099875,"Mott Haven, Bronx",1,Pizza Place,40.807595608,-73.919318371,Golden Pizza
Bronx,54,40.806238749,-73.916099875,"Mott Haven, Bronx",1,Pizza Place,40.807686778,-73.919640966,Little Caesars Pizza
Bronx,55,40.806238749,-73.916099875,"Mott Haven, Bronx",1,Coffee Shop,40.807915719,-73.919537628,Brook Lunch
Bronx,56,40.809729879,-73.883315060,"Hunts Point, Bronx",1,Pizza Place,40.809804094,-73.880760414,Fratellis Pizza Cafe
Bronx,57,40.823591986,-73.901506489,"Morrisania, Bronx",1,Pizza Place,40.819705731,-73.901666166,Giovani's Big Pizza
Bronx,58,40.823591986,-73.901506489,"Morrisania, Bronx",1,Pizza Place,40.819702811,-73.901337709,Papa's Pizza
Bronx,59,40.815109258,-73.816350022,"Throgs Neck, Bronx",1,Coffee Shop,40.819461727,-73.817351755,The Miles Coffee Bar
Bronx,60,40.815109258,-73.816350022,"Throgs Neck, Bronx",1,Pizza Place,40.818721233,-73.817239421,Franks Pizza & Restaurant
Bronx,61,40.815109258,-73.816350022,"Throgs Neck, Bronx",1,Italian Restaurant,40.819222258,-73.817600665,Tosca Marquee
Bronx,62,40.837937822,-73.856003105,"Parkchester, Bronx",1,Pizza Place,40.835878820,-73.855631085,Jerry's Pizza
Bronx,63,40.837937822,-73.856003105,"Parkchester, Bronx",1,Pizza Place,40.833840918,-73.856861785,Domino's Pizza
Bronx,64,40.837937822,-73.856003105,"Parkchester, Bronx",1,Pizza Place,40.833836654,-73.857017974,Pizza Hut
