BoroName,hood,Geometry,Latitude (generated),Longitude (generated)
Downtown Toronto,Banbury-Don Mills,MULTIPOLYGON,43.73691139,-79.34859824
Downtown Toronto,Mount Pleasant East,MULTIPOLYGON,43.70424043,-79.38616006
Downtown Toronto,Thorncliffe Park,MULTIPOLYGON,43.70750455,-79.34537837
Downtown Toronto,Weston-Pellam Park,MULTIPOLYGON,43.67413127,-79.46007367
Downtown Toronto,Briar Hill-Belgravia,MULTIPOLYGON,43.69775712,-79.45149947
Downtown Toronto,Bay Street Corridor,MULTIPOLYGON,43.65807156,-79.38590694
Downtown Toronto,Bridle Path-Sunnybrook-York Mills,MULTIPOLYGON,43.73378575,-79.36908426
Downtown Toronto,North Riverdale,MULTIPOLYGON,43.67178372,-79.35421161
Downtown Toronto,Crescent Town,MULTIPOLYGON,43.69601828,-79.29582604
Downtown Toronto,Yonge-Eglinton,MULTIPOLYGON,43.70443687,-79.40261302
Downtown Toronto,East End-Danforth,MULTIPOLYGON,43.68349605,-79.29946128
Downtown Toronto,Palmerston-Little Italy,MULTIPOLYGON,43.65875365,-79.41857302
Downtown Toronto,Oakwood Village,MULTIPOLYGON,43.68914111,-79.44012164
Downtown Toronto,Yorkdale-Glen Park,MULTIPOLYGON,43.71385139,-79.45480059
Downtown Toronto,Lawrence Park North,MULTIPOLYGON,43.72943173,-79.40479265
Downtown Toronto,Maple Leaf,MULTIPOLYGON,43.7140936,-79.48126238
Downtown Toronto,Leaside-Bennington,MULTIPOLYGON,43.69746279,-79.36279922
Downtown Toronto,Woodbine-Lumsden,MULTIPOLYGON,43.69387363,-79.31250927
Downtown Toronto,Waterfront Communities-The Island,MULTIPOLYGON,43.62388569,-79.37688799
Downtown Toronto,Moss Park,MULTIPOLYGON,43.65686005,-79.36526257
Downtown Toronto,Bedford Park-Nortown,MULTIPOLYGON,43.72791779,-79.4210151
Central Toronto,Hillcrest Village,MULTIPOLYGON,43.80221008,-79.35948628
Central Toronto,Willowdale West,MULTIPOLYGON,43.77324379,-79.42518902
Central Toronto,York University Heights,MULTIPOLYGON,43.76085857,-79.50310734
Central Toronto,Downsview-Roding-CFB,MULTIPOLYGON,43.73690011,-79.49402933
Central Toronto,Bayview Village,MULTIPOLYGON,43.77471061,-79.37473591
Central Toronto,Don Valley Village,MULTIPOLYGON,43.78267811,-79.3556841
Central Toronto,Bayview Woods-Steeles,MULTIPOLYGON,43.79795144,-79.38024335
Central Toronto,Lansing-Westgate,MULTIPOLYGON,43.75588194,-79.43000035
Central Toronto,Glenfield-Jane Heights,MULTIPOLYGON,43.74497799,-79.50342843
Central Toronto,Newtonbrook West,MULTIPOLYGON,43.78471933,-79.43123166
Central Toronto,Black Creek,MULTIPOLYGON,43.76664169,-79.51289731
Central Toronto,Westminster-Branson,MULTIPOLYGON,43.77629872,-79.45601294
Central Toronto,Bathurst Manor,MULTIPOLYGON,43.77115052,-79.45443214
Central Toronto,Henry Farm,MULTIPOLYGON,43.77131082,-79.34541104
Central Toronto,Clanton Park,MULTIPOLYGON,43.74398244,-79.44581881
Central Toronto,Newtonbrook East,MULTIPOLYGON,43.79108031,-79.40737535
Central Toronto,Willowdale East,MULTIPOLYGON,43.77163318,-79.40195708
Central Toronto,Pleasant View,MULTIPOLYGON,43.78415664,-79.33321593
East Toronto,Birchcliffe-Cliffside,MULTIPOLYGON,43.68968174,-79.26241455
East Toronto,Clairlea-Birchmount,MULTIPOLYGON,43.70796636,-79.28195895
East Toronto,Kennedy Park,MULTIPOLYGON,43.72575797,-79.26029873
East Toronto,Bendale,MULTIPOLYGON,43.7539235,-79.24784568
East Toronto,Malvern,MULTIPOLYGON,43.8034868,-79.22359222
East Toronto,L'Amoreaux,MULTIPOLYGON,43.79065604,-79.3102192
East Toronto,Cliffcrest,MULTIPOLYGON,43.70980669,-79.23127508
East Toronto,Dorset Park,MULTIPOLYGON,43.75848877,-79.28006548
East Toronto,Centennial Scarborough,MULTIPOLYGON,43.77671428,-79.15207821
East Toronto,Steeles,MULTIPOLYGON,43.8129992,-79.32166304
East Toronto,Rouge,MULTIPOLYGON,43.80225713,-79.14698614
East Toronto,Highland Creek,MULTIPOLYGON,43.78659982,-79.17885597
East Toronto,Scarborough Village,MULTIPOLYGON,43.73399901,-79.21413418
East Toronto,Morningside,MULTIPOLYGON,43.77956643,-79.20840105
East Toronto,Woburn,MULTIPOLYGON,43.7702729,-79.2232445
East Toronto,Wexford/Maryvale,MULTIPOLYGON,43.75030892,-79.30077939
East Toronto,Ionview,MULTIPOLYGON,43.73288308,-79.27232282
East Toronto,Guildwood,MULTIPOLYGON,43.74697331,-79.18922271
East Toronto,Agincourt South-Malvern West,MULTIPOLYGON,43.78954102,-79.2662761
East Toronto,Milliken,MULTIPOLYGON,43.8185501,-79.27775176
East Toronto,Agincourt North,MULTIPOLYGON,43.80432974,-79.26326236
East Toronto,West Hill,MULTIPOLYGON,43.76781168,-79.17281278
East Toronto,Eglinton East,MULTIPOLYGON,43.74567788,-79.24328753
East Toronto,Tam O'Shanter-Sullivan,MULTIPOLYGON,43.78234849,-79.30291776
East Toronto,Oakridge,MULTIPOLYGON,43.70118684,-79.28114758
