,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
673,"Parkchester, Bronx",40.837937822267286,-73.85600310535783,Lorraine's Bar and Grill,40.83491783495375,-73.85441064834593,Italian Restaurant
683,"Westchester Square, Bronx",40.8406194964327,-73.84219407604444,Ljubo's Pizza,40.84024251376612,-73.84335520763584,Pizza Place
698,"Westchester Square, Bronx",40.8406194964327,-73.84219407604444,Little Caesars Pizza,40.841101354000024,-73.84313827623544,Pizza Place
713,"Van Nest, Bronx",40.84360847124718,-73.8662991807561,Morris Park Pizza,40.844961992094355,-73.867605559151,Pizza Place
714,"Van Nest, Bronx",40.84360847124718,-73.8662991807561,Primavera Pizzeria & Restaurant,40.84576058179042,-73.86384770279791,Pizza Place
715,"Van Nest, Bronx",40.84360847124718,-73.8662991807561,Conti's Pastry Shoppe,40.845905639607956,-73.86283608706798,Coffee Shop
718,"Van Nest, Bronx",40.84360847124718,-73.8662991807561,Anthony's Pizza,40.84526932730098,-73.86609972700784,Pizza Place
722,"Van Nest, Bronx",40.84360847124718,-73.8662991807561,Domino's Pizza,40.845313044183776,-73.8646388501092,Pizza Place
736,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,Patricia's,40.84931298339339,-73.85353576737785,Italian Restaurant
738,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,Captain's Pizza,40.84887580417101,-73.85437462135108,Pizza Place
740,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,Emilio's Pizza,40.848934633803005,-73.85457970598979,Pizza Place
741,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,Captain's Pizzeria & Restaurant,40.848876976000696,-73.85437663865966,Pizza Place
748,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,La Casa Del Caffe,40.84867491944407,-73.85497310878064,Coffee Shop
751,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,Luciano's Pizza,40.84826855223357,-73.85599987451863,Pizza Place
