BoroName,Borough,F1,Geometry,Latitude (generated),Latitude,Longitude (generated),Longitude,Neighborhood,Number of Records,hood
West Toronto,West Toronto,25,MULTIPOLYGON,43.6166441,43.6489597,-79.48290316,-79.456325,Parkdale / Roncesvalles-Toronto,1,Mimico
West Toronto,West Toronto,22,MULTIPOLYGON,43.6166441,43.6616083,-79.48290316,-79.4647633,High Park / The Junction South-Toronto,1,Mimico
West Toronto,West Toronto,14,MULTIPOLYGON,43.6166441,43.6368472,-79.48290316,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Mimico
West Toronto,West Toronto,11,MULTIPOLYGON,43.6166441,43.6479267,-79.48290316,-79.4197497,Little Portugal / Trinity-Toronto,1,Mimico
West Toronto,West Toronto,9,MULTIPOLYGON,43.6166441,43.6690051,-79.48290316,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Mimico
West Toronto,West Toronto,28,MULTIPOLYGON,43.72530846,43.6515706,-79.5460964,-79.4844499,Runnymede / Swansea-Toronto,1,Elms-Old Rexdale
West Toronto,West Toronto,25,MULTIPOLYGON,43.72530846,43.6489597,-79.5460964,-79.456325,Parkdale / Roncesvalles-Toronto,1,Elms-Old Rexdale
West Toronto,West Toronto,22,MULTIPOLYGON,43.72530846,43.6616083,-79.5460964,-79.4647633,High Park / The Junction South-Toronto,1,Elms-Old Rexdale
West Toronto,West Toronto,14,MULTIPOLYGON,43.72530846,43.6368472,-79.5460964,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Elms-Old Rexdale
West Toronto,West Toronto,11,MULTIPOLYGON,43.72530846,43.6479267,-79.5460964,-79.4197497,Little Portugal / Trinity-Toronto,1,Elms-Old Rexdale
West Toronto,West Toronto,9,MULTIPOLYGON,43.72530846,43.6690051,-79.5460964,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Elms-Old Rexdale
West Toronto,West Toronto,28,MULTIPOLYGON,43.68782215,43.6515706,-79.50220345,-79.4844499,Runnymede / Swansea-Toronto,1,Mount Dennis
West Toronto,West Toronto,25,MULTIPOLYGON,43.68782215,43.6489597,-79.50220345,-79.456325,Parkdale / Roncesvalles-Toronto,1,Mount Dennis
West Toronto,West Toronto,22,MULTIPOLYGON,43.68782215,43.6616083,-79.50220345,-79.4647633,High Park / The Junction South-Toronto,1,Mount Dennis
West Toronto,West Toronto,14,MULTIPOLYGON,43.68782215,43.6368472,-79.50220345,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Mount Dennis
West Toronto,West Toronto,11,MULTIPOLYGON,43.68782215,43.6479267,-79.50220345,-79.4197497,Little Portugal / Trinity-Toronto,1,Mount Dennis
West Toronto,West Toronto,9,MULTIPOLYGON,43.68782215,43.6690051,-79.50220345,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Mount Dennis
West Toronto,West Toronto,28,MULTIPOLYGON,43.65311992,43.6515706,-79.50715192,-79.4844499,Runnymede / Swansea-Toronto,1,Kingsway South
West Toronto,West Toronto,25,MULTIPOLYGON,43.65311992,43.6489597,-79.50715192,-79.456325,Parkdale / Roncesvalles-Toronto,1,Kingsway South
West Toronto,West Toronto,22,MULTIPOLYGON,43.65311992,43.6616083,-79.50715192,-79.4647633,High Park / The Junction South-Toronto,1,Kingsway South
West Toronto,West Toronto,14,MULTIPOLYGON,43.65311992,43.6368472,-79.50715192,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Kingsway South
West Toronto,West Toronto,11,MULTIPOLYGON,43.65311992,43.6479267,-79.50715192,-79.4197497,Little Portugal / Trinity-Toronto,1,Kingsway South
West Toronto,West Toronto,9,MULTIPOLYGON,43.65311992,43.6690051,-79.50715192,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Kingsway South
West Toronto,West Toronto,28,MULTIPOLYGON,43.5924391,43.6515706,-79.51028987,-79.4844499,Runnymede / Swansea-Toronto,1,New Toronto
West Toronto,West Toronto,25,MULTIPOLYGON,43.5924391,43.6489597,-79.51028987,-79.456325,Parkdale / Roncesvalles-Toronto,1,New Toronto
West Toronto,West Toronto,22,MULTIPOLYGON,43.5924391,43.6616083,-79.51028987,-79.4647633,High Park / The Junction South-Toronto,1,New Toronto
West Toronto,West Toronto,14,MULTIPOLYGON,43.5924391,43.6368472,-79.51028987,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,New Toronto
West Toronto,West Toronto,11,MULTIPOLYGON,43.5924391,43.6479267,-79.51028987,-79.4197497,Little Portugal / Trinity-Toronto,1,New Toronto
West Toronto,West Toronto,9,MULTIPOLYGON,43.5924391,43.6690051,-79.51028987,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,New Toronto
West Toronto,West Toronto,28,MULTIPOLYGON,43.64531515,43.6515706,-79.44183689,-79.4844499,Runnymede / Swansea-Toronto,1,Roncesvalles
West Toronto,West Toronto,25,MULTIPOLYGON,43.64531515,43.6489597,-79.44183689,-79.456325,Parkdale / Roncesvalles-Toronto,1,Roncesvalles
West Toronto,West Toronto,22,MULTIPOLYGON,43.64531515,43.6616083,-79.44183689,-79.4647633,High Park / The Junction South-Toronto,1,Roncesvalles
West Toronto,West Toronto,14,MULTIPOLYGON,43.64531515,43.6368472,-79.44183689,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Roncesvalles
West Toronto,West Toronto,11,MULTIPOLYGON,43.64531515,43.6479267,-79.44183689,-79.4197497,Little Portugal / Trinity-Toronto,1,Roncesvalles
West Toronto,West Toronto,9,MULTIPOLYGON,43.64531515,43.6690051,-79.44183689,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Roncesvalles
West Toronto,West Toronto,28,MULTIPOLYGON,43.64399705,43.6515706,-79.47043602,-79.4844499,Runnymede / Swansea-Toronto,1,High Park-Swansea
West Toronto,West Toronto,25,MULTIPOLYGON,43.64399705,43.6489597,-79.47043602,-79.456325,Parkdale / Roncesvalles-Toronto,1,High Park-Swansea
West Toronto,West Toronto,22,MULTIPOLYGON,43.64399705,43.6616083,-79.47043602,-79.4647633,High Park / The Junction South-Toronto,1,High Park-Swansea
West Toronto,West Toronto,14,MULTIPOLYGON,43.64399705,43.6368472,-79.47043602,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,High Park-Swansea
West Toronto,West Toronto,11,MULTIPOLYGON,43.64399705,43.6479267,-79.47043602,-79.4197497,Little Portugal / Trinity-Toronto,1,High Park-Swansea
West Toronto,West Toronto,9,MULTIPOLYGON,43.64399705,43.6690051,-79.47043602,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,High Park-Swansea
West Toronto,West Toronto,28,MULTIPOLYGON,43.75445864,43.6515706,-79.57275238,-79.4844499,Runnymede / Swansea-Toronto,1,Humber Summit
West Toronto,West Toronto,25,MULTIPOLYGON,43.75445864,43.6489597,-79.57275238,-79.456325,Parkdale / Roncesvalles-Toronto,1,Humber Summit
West Toronto,West Toronto,22,MULTIPOLYGON,43.75445864,43.6616083,-79.57275238,-79.4647633,High Park / The Junction South-Toronto,1,Humber Summit
West Toronto,West Toronto,14,MULTIPOLYGON,43.75445864,43.6368472,-79.57275238,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Humber Summit
West Toronto,West Toronto,11,MULTIPOLYGON,43.75445864,43.6479267,-79.57275238,-79.4197497,Little Portugal / Trinity-Toronto,1,Humber Summit
West Toronto,West Toronto,9,MULTIPOLYGON,43.75445864,43.6690051,-79.57275238,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Humber Summit
West Toronto,West Toronto,28,MULTIPOLYGON,43.67550624,43.6515706,-79.49851555,-79.4844499,Runnymede / Swansea-Toronto,1,Rockcliffe-Smythe
West Toronto,West Toronto,25,MULTIPOLYGON,43.67550624,43.6489597,-79.49851555,-79.456325,Parkdale / Roncesvalles-Toronto,1,Rockcliffe-Smythe
West Toronto,West Toronto,22,MULTIPOLYGON,43.67550624,43.6616083,-79.49851555,-79.4647633,High Park / The Junction South-Toronto,1,Rockcliffe-Smythe
West Toronto,West Toronto,14,MULTIPOLYGON,43.67550624,43.6368472,-79.49851555,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Rockcliffe-Smythe
West Toronto,West Toronto,11,MULTIPOLYGON,43.67550624,43.6479267,-79.49851555,-79.4197497,Little Portugal / Trinity-Toronto,1,Rockcliffe-Smythe
West Toronto,West Toronto,9,MULTIPOLYGON,43.67550624,43.6690051,-79.49851555,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Rockcliffe-Smythe
West Toronto,West Toronto,28,MULTIPOLYGON,43.71938101,43.6515706,-79.53468967,-79.4844499,Runnymede / Swansea-Toronto,1,Pelmo Park-Humberlea
West Toronto,West Toronto,25,MULTIPOLYGON,43.71938101,43.6489597,-79.53468967,-79.456325,Parkdale / Roncesvalles-Toronto,1,Pelmo Park-Humberlea
West Toronto,West Toronto,22,MULTIPOLYGON,43.71938101,43.6616083,-79.53468967,-79.4647633,High Park / The Junction South-Toronto,1,Pelmo Park-Humberlea
West Toronto,West Toronto,14,MULTIPOLYGON,43.71938101,43.6368472,-79.53468967,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Pelmo Park-Humberlea
West Toronto,West Toronto,11,MULTIPOLYGON,43.71938101,43.6479267,-79.53468967,-79.4197497,Little Portugal / Trinity-Toronto,1,Pelmo Park-Humberlea
West Toronto,West Toronto,9,MULTIPOLYGON,43.71938101,43.6690051,-79.53468967,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Pelmo Park-Humberlea
West Toronto,West Toronto,28,MULTIPOLYGON,43.65979833,43.6515706,-79.48841364,-79.4844499,Runnymede / Swansea-Toronto,1,Runnymede-Bloor West Village
West Toronto,West Toronto,25,MULTIPOLYGON,43.65979833,43.6489597,-79.48841364,-79.456325,Parkdale / Roncesvalles-Toronto,1,Runnymede-Bloor West Village
West Toronto,West Toronto,22,MULTIPOLYGON,43.65979833,43.6616083,-79.48841364,-79.4647633,High Park / The Junction South-Toronto,1,Runnymede-Bloor West Village
West Toronto,West Toronto,14,MULTIPOLYGON,43.65979833,43.6368472,-79.48841364,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Runnymede-Bloor West Village
West Toronto,West Toronto,11,MULTIPOLYGON,43.65979833,43.6479267,-79.48841364,-79.4197497,Little Portugal / Trinity-Toronto,1,Runnymede-Bloor West Village
West Toronto,West Toronto,9,MULTIPOLYGON,43.65979833,43.6690051,-79.48841364,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Runnymede-Bloor West Village
West Toronto,West Toronto,28,MULTIPOLYGON,43.70219385,43.6515706,-79.5202352,-79.4844499,Runnymede / Swansea-Toronto,1,Weston
West Toronto,West Toronto,25,MULTIPOLYGON,43.70219385,43.6489597,-79.5202352,-79.456325,Parkdale / Roncesvalles-Toronto,1,Weston
West Toronto,West Toronto,22,MULTIPOLYGON,43.70219385,43.6616083,-79.5202352,-79.4647633,High Park / The Junction South-Toronto,1,Weston
West Toronto,West Toronto,14,MULTIPOLYGON,43.70219385,43.6368472,-79.5202352,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Weston
West Toronto,West Toronto,11,MULTIPOLYGON,43.70219385,43.6479267,-79.5202352,-79.4197497,Little Portugal / Trinity-Toronto,1,Weston
West Toronto,West Toronto,9,MULTIPOLYGON,43.70219385,43.6690051,-79.5202352,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Weston
West Toronto,West Toronto,28,MULTIPOLYGON,43.63536531,43.6515706,-79.447458,-79.4844499,Runnymede / Swansea-Toronto,1,South Parkdale
West Toronto,West Toronto,25,MULTIPOLYGON,43.63536531,43.6489597,-79.447458,-79.456325,Parkdale / Roncesvalles-Toronto,1,South Parkdale
West Toronto,West Toronto,22,MULTIPOLYGON,43.63536531,43.6616083,-79.447458,-79.4647633,High Park / The Junction South-Toronto,1,South Parkdale
West Toronto,West Toronto,14,MULTIPOLYGON,43.63536531,43.6368472,-79.447458,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,South Parkdale
West Toronto,West Toronto,11,MULTIPOLYGON,43.63536531,43.6479267,-79.447458,-79.4197497,Little Portugal / Trinity-Toronto,1,South Parkdale
West Toronto,West Toronto,9,MULTIPOLYGON,43.63536531,43.6690051,-79.447458,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,South Parkdale
West Toronto,West Toronto,28,MULTIPOLYGON,43.6520611,43.6515706,-79.58424913,-79.4844499,Runnymede / Swansea-Toronto,1,Eringate-Centennial-West Deane
West Toronto,West Toronto,25,MULTIPOLYGON,43.6520611,43.6489597,-79.58424913,-79.456325,Parkdale / Roncesvalles-Toronto,1,Eringate-Centennial-West Deane
West Toronto,West Toronto,22,MULTIPOLYGON,43.6520611,43.6616083,-79.58424913,-79.4647633,High Park / The Junction South-Toronto,1,Eringate-Centennial-West Deane
West Toronto,West Toronto,14,MULTIPOLYGON,43.6520611,43.6368472,-79.58424913,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Eringate-Centennial-West Deane
West Toronto,West Toronto,11,MULTIPOLYGON,43.6520611,43.6479267,-79.58424913,-79.4197497,Little Portugal / Trinity-Toronto,1,Eringate-Centennial-West Deane
West Toronto,West Toronto,9,MULTIPOLYGON,43.6520611,43.6690051,-79.58424913,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Eringate-Centennial-West Deane
West Toronto,West Toronto,28,MULTIPOLYGON,43.60147469,43.6515706,-79.54583303,-79.4844499,Runnymede / Swansea-Toronto,1,Alderwood
West Toronto,West Toronto,25,MULTIPOLYGON,43.60147469,43.6489597,-79.54583303,-79.456325,Parkdale / Roncesvalles-Toronto,1,Alderwood
West Toronto,West Toronto,22,MULTIPOLYGON,43.60147469,43.6616083,-79.54583303,-79.4647633,High Park / The Junction South-Toronto,1,Alderwood
West Toronto,West Toronto,14,MULTIPOLYGON,43.60147469,43.6368472,-79.54583303,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Alderwood
West Toronto,West Toronto,11,MULTIPOLYGON,43.60147469,43.6479267,-79.54583303,-79.4197497,Little Portugal / Trinity-Toronto,1,Alderwood
West Toronto,West Toronto,9,MULTIPOLYGON,43.60147469,43.6690051,-79.54583303,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Alderwood
West Toronto,West Toronto,28,MULTIPOLYGON,43.58847083,43.6515706,-79.53258421,-79.4844499,Runnymede / Swansea-Toronto,1,Long Branch
West Toronto,West Toronto,25,MULTIPOLYGON,43.58847083,43.6489597,-79.53258421,-79.456325,Parkdale / Roncesvalles-Toronto,1,Long Branch
West Toronto,West Toronto,22,MULTIPOLYGON,43.58847083,43.6616083,-79.53258421,-79.4647633,High Park / The Junction South-Toronto,1,Long Branch
West Toronto,West Toronto,14,MULTIPOLYGON,43.58847083,43.6368472,-79.53258421,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Long Branch
West Toronto,West Toronto,11,MULTIPOLYGON,43.58847083,43.6479267,-79.53258421,-79.4197497,Little Portugal / Trinity-Toronto,1,Long Branch
West Toronto,West Toronto,9,MULTIPOLYGON,43.58847083,43.6690051,-79.53258421,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Long Branch
West Toronto,West Toronto,28,MULTIPOLYGON,43.65798354,43.6515706,-79.46735055,-79.4844499,Runnymede / Swansea-Toronto,1,High Park North
West Toronto,West Toronto,25,MULTIPOLYGON,43.65798354,43.6489597,-79.46735055,-79.456325,Parkdale / Roncesvalles-Toronto,1,High Park North
West Toronto,West Toronto,22,MULTIPOLYGON,43.65798354,43.6616083,-79.46735055,-79.4647633,High Park / The Junction South-Toronto,1,High Park North
West Toronto,West Toronto,14,MULTIPOLYGON,43.65798354,43.6368472,-79.46735055,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,High Park North
West Toronto,West Toronto,11,MULTIPOLYGON,43.65798354,43.6479267,-79.46735055,-79.4197497,Little Portugal / Trinity-Toronto,1,High Park North
West Toronto,West Toronto,9,MULTIPOLYGON,43.65798354,43.6690051,-79.46735055,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,High Park North
West Toronto,West Toronto,28,MULTIPOLYGON,43.6333603,43.6515706,-79.54669834,-79.4844499,Runnymede / Swansea-Toronto,1,Islington-City Centre West
West Toronto,West Toronto,25,MULTIPOLYGON,43.6333603,43.6489597,-79.54669834,-79.456325,Parkdale / Roncesvalles-Toronto,1,Islington-City Centre West
West Toronto,West Toronto,22,MULTIPOLYGON,43.6333603,43.6616083,-79.54669834,-79.4647633,High Park / The Junction South-Toronto,1,Islington-City Centre West
West Toronto,West Toronto,14,MULTIPOLYGON,43.6333603,43.6368472,-79.54669834,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Islington-City Centre West
West Toronto,West Toronto,11,MULTIPOLYGON,43.6333603,43.6479267,-79.54669834,-79.4197497,Little Portugal / Trinity-Toronto,1,Islington-City Centre West
West Toronto,West Toronto,9,MULTIPOLYGON,43.6333603,43.6690051,-79.54669834,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Islington-City Centre West
West Toronto,West Toronto,28,MULTIPOLYGON,43.63892223,43.6515706,-79.49855017,-79.4844499,Runnymede / Swansea-Toronto,1,Stonegate-Queensway
West Toronto,West Toronto,25,MULTIPOLYGON,43.63892223,43.6489597,-79.49855017,-79.456325,Parkdale / Roncesvalles-Toronto,1,Stonegate-Queensway
West Toronto,West Toronto,22,MULTIPOLYGON,43.63892223,43.6616083,-79.49855017,-79.4647633,High Park / The Junction South-Toronto,1,Stonegate-Queensway
West Toronto,West Toronto,14,MULTIPOLYGON,43.63892223,43.6368472,-79.49855017,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Stonegate-Queensway
West Toronto,West Toronto,11,MULTIPOLYGON,43.63892223,43.6479267,-79.49855017,-79.4197497,Little Portugal / Trinity-Toronto,1,Stonegate-Queensway
West Toronto,West Toronto,9,MULTIPOLYGON,43.63892223,43.6690051,-79.49855017,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Stonegate-Queensway
