,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
633,"Throgs Neck, Bronx",40.81510925804005,-73.81635002158441,Franks Pizza & Restaurant,40.818721232539104,-73.81723942127738,Pizza Place
645,"Parkchester, Bronx",40.837937822267286,-73.85600310535783,Jerry's Pizza,40.83587881991851,-73.8556310850081,Pizza Place
660,"Parkchester, Bronx",40.837937822267286,-73.85600310535783,Domino's Pizza,40.83384091755234,-73.85686178507058,Pizza Place
663,"Parkchester, Bronx",40.837937822267286,-73.85600310535783,Pizza Hut,40.833836654425596,-73.85701797438742,Pizza Place
683,"Westchester Square, Bronx",40.8406194964327,-73.84219407604444,Ljubo's Pizza,40.84024251376612,-73.84335520763584,Pizza Place
698,"Westchester Square, Bronx",40.8406194964327,-73.84219407604444,Little Caesars Pizza,40.841101354000024,-73.84313827623544,Pizza Place
713,"Van Nest, Bronx",40.84360847124718,-73.8662991807561,Morris Park Pizza,40.844961992094355,-73.867605559151,Pizza Place
714,"Van Nest, Bronx",40.84360847124718,-73.8662991807561,Primavera Pizzeria & Restaurant,40.84576058179042,-73.86384770279791,Pizza Place
718,"Van Nest, Bronx",40.84360847124718,-73.8662991807561,Anthony's Pizza,40.84526932730098,-73.86609972700784,Pizza Place
722,"Van Nest, Bronx",40.84360847124718,-73.8662991807561,Domino's Pizza,40.845313044183776,-73.8646388501092,Pizza Place
738,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,Captain's Pizza,40.84887580417101,-73.85437462135108,Pizza Place
740,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,Emilio's Pizza,40.848934633803005,-73.85457970598979,Pizza Place
741,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,Captain's Pizzeria & Restaurant,40.848876976000696,-73.85437663865966,Pizza Place
751,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,Luciano's Pizza,40.84826855223357,-73.85599987451863,Pizza Place
762,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Full Moon Pizzeria,40.855505712207126,-73.88755698445503,Pizza Place
765,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Zero Otto Nove,40.85471353015844,-73.88838751470229,Pizza Place
778,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Pugsley Pizza,40.8588177574385,-73.88480770171738,Pizza Place
784,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Bellini's Pizza,40.8570710822463,-73.88535048830875,Pizza Place
800,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Pizza Studio - Fordham,40.86074889186513,-73.88981540589373,Pizza Place
804,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Tony & Tina's Pizza,40.857431933012315,-73.88602914297164,Pizza Place
827,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Catania's Pizzeria & Cafe Inc.,40.85363375882053,-73.88933672847328,Pizza Place
831,"Belmont, Bronx",40.85727710073895,-73.88845196134804,University Pizza & Restaurant,40.85870680479297,-73.88585753180512,Pizza Place
854,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Bella Pizza,40.855,-73.89070500000001,Pizza Place
868,"North Riverdale, Bronx",40.90854282950666,-73.90453054908927,Nona's Pizza,40.910155696805184,-73.90302574970092,Pizza Place
879,"North Riverdale, Bronx",40.90854282950666,-73.90453054908927,Addeo's Riverdale Pizzeria,40.90575686550095,-73.9042416969571,Pizza Place
884,"North Riverdale, Bronx",40.90854282950666,-73.90453054908927,Dino's Pizzeria,40.90517102933955,-73.90147193175798,Pizza Place
940,"Schuylerville, Bronx",40.82657951686922,-73.82620275994073,Cestra's Pizza,40.828733,-73.823949,Pizza Place
950,"Schuylerville, Bronx",40.82657951686922,-73.82620275994073,Domino's Pizza,40.82687097197242,-73.8227927684784,Pizza Place
958,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Tommy's Pizzeria,40.81957293563141,-73.81748174041417,Pizza Place
961,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Franks Pizza & Restaurant,40.818721232539104,-73.81723942127738,Pizza Place
974,"Castle Hill, Bronx",40.819014376988314,-73.84802729582735,Franks Original Pizza Italia,40.82286427195636,-73.84890931755929,Pizza Place
978,"Castle Hill, Bronx",40.819014376988314,-73.84802729582735,Pizza Italia,40.822888,-73.84862,Pizza Place
1003,"Pelham Gardens, Bronx",40.86296562477998,-73.84161194831223,Villa Maria Restaurant,40.862272999999995,-73.843071,Pizza Place
1007,"Pelham Gardens, Bronx",40.86296562477998,-73.84161194831223,Carbo's Pizzeria,40.86249,-73.843079,Pizza Place
1027,"Concourse, Bronx",40.83428380733851,-73.91558941773444,Domino's Pizza,40.83587284041261,-73.92099072040764,Pizza Place
1031,"Concourse, Bronx",40.83428380733851,-73.91558941773444,PG Pizza,40.833902,-73.915116,Pizza Place
1032,"Concourse, Bronx",40.83428380733851,-73.91558941773444,Pizza,40.83383055195339,-73.91589203894232,Pizza Place
1045,"Unionport, Bronx",40.82977429787161,-73.85053524451935,Cross Bronx Pizzeria,40.83006887037155,-73.85081764105371,Pizza Place
1074,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Leo's Casa Calamari,40.6242,-74.030931,Pizza Place
1094,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Peppino's,40.6298508137169,-74.02848135082027,Pizza Place
1096,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Nonno's Pizza,40.62164967557811,-74.03185368050534,Pizza Place
1142,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Ben's Pizzeria,40.62640416738638,-74.02975174836288,Pizza Place
1185,"Sunset Park, Brooklyn",40.64510294925429,-74.01031618527784,Royal Kings Pizza,40.64369981623152,-74.01174040252202,Pizza Place
1187,"Sunset Park, Brooklyn",40.64510294925429,-74.01031618527784,Luigi's Pizza,40.64677589775821,-74.00870886603244,Pizza Place
1193,"Sunset Park, Brooklyn",40.64510294925429,-74.01031618527784,Charles's Pizzeria,40.645623,-74.010191,Pizza Place
1229,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Fornino,40.72895139078759,-73.95386181678641,Pizza Place
1250,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Paulie Gee's Slice Shop,40.728444159891396,-73.95734068765103,Pizza Place
1258,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Paulie Gee’s,40.729801246987186,-73.95852046352437,Pizza Place
1277,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Italy Pizza,40.727711857496196,-73.95305085278082,Pizza Place
1301,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Russ Pizza,40.72645867309902,-73.95235989468806,Pizza Place
1312,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Triangolo Pizzeria,40.7336509812184,-73.95482948305418,Pizza Place
1316,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Casanova Family Italian Restaurant & Pizzeria,40.7340567527229,-73.95208213969691,Pizza Place
1320,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Ciccio's,40.59667201492687,-73.97634043335019,Pizza Place
1326,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Papa John's Pizza,40.596748555126595,-73.97705042270184,Pizza Place
1343,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Kennedy Fried Chicken & Pizza,40.592560999999996,-73.977968,Pizza Place
1402,"Sheepshead Bay, Brooklyn",40.58689012678384,-73.94318640482979,Connie's Pizzeria,40.59017383063587,-73.93951688663121,Pizza Place
1413,"Manhattan Terrace, Brooklyn",40.61443251335098,-73.95743840559939,Benny's Brick Oven Pizza,40.61826558245511,-73.95712545664973,Pizza Place
1418,"Manhattan Terrace, Brooklyn",40.61443251335098,-73.95743840559939,Posh Kosher Pizza,40.618352088945095,-73.95805451436021,Pizza Place
1426,"Manhattan Terrace, Brooklyn",40.61443251335098,-73.95743840559939,Jerusalem II Pizza,40.61794290485054,-73.96008538058996,Pizza Place
1440,"Flatbush, Brooklyn",40.63632589026677,-73.95840106533903,LoDuca Pizza,40.63492093049167,-73.96266286813962,Pizza Place
1457,"Crown Heights, Brooklyn",40.67082917695294,-73.94329119073582,Basil Pizza & Wine Bar,40.670357911640814,-73.94216189419706,Pizza Place
1459,"Crown Heights, Brooklyn",40.67082917695294,-73.94329119073582,Calabria,40.67042,-73.94223,Pizza Place
1468,"Crown Heights, Brooklyn",40.67082917695294,-73.94329119073582,Kingston Pizza,40.670882333591784,-73.94204835429447,Pizza Place
1499,"Kensington, Brooklyn",40.642381958003526,-73.98042110559474,Beverly Pizzeria & Cafe,40.642538,-73.97833299999999,Pizza Place
1509,"Kensington, Brooklyn",40.642381958003526,-73.98042110559474,Korner Pizza,40.64351847921882,-73.97757264349397,Pizza Place
1572,"Prospect Heights, Brooklyn",40.676822262254724,-73.9648592426269,Ogliastro Pizza Bar,40.67442512423628,-73.96314365870649,Pizza Place
1592,"Prospect Heights, Brooklyn",40.676822262254724,-73.9648592426269,Amorina Cucina Rustica,40.677555876640874,-73.9689864777241,Pizza Place
1642,"Brownsville, Brooklyn",40.66394994339755,-73.91023536176607,Napoli Pizza,40.66308553779411,-73.90882625783786,Pizza Place
1678,"Williamsburg, Brooklyn",40.70714439344251,-73.95811529220927,Roebling Pizza,40.708808307240645,-73.96090117049755,Pizza Place
1706,"Bushwick, Brooklyn",40.69811611017901,-73.92525797487045,Archie's,40.69998650358481,-73.92830709366717,Pizza Place
1719,"Bushwick, Brooklyn",40.69811611017901,-73.92525797487045,Tony Oravio Pizza,40.70111380674978,-73.92249695677663,Pizza Place
1747,"Bushwick, Brooklyn",40.69811611017901,-73.92525797487045,OMG Pizza,40.69815120337451,-73.92545194772751,Pizza Place
1778,"Bedford Stuyvesant, Brooklyn",40.687231607720456,-73.94178488690297,Bravi Ragazzi,40.685203,-73.938775,Pizza Place
1789,"Bedford Stuyvesant, Brooklyn",40.687231607720456,-73.94178488690297,Rocco Pizza III,40.6828787727279,-73.94075667876076,Pizza Place
1797,"Brooklyn Heights, Brooklyn",40.695863722724084,-73.99378225496424,Dellarocco's,40.69499209990746,-73.99592429396137,Pizza Place
1850,"Brooklyn Heights, Brooklyn",40.695863722724084,-73.99378225496424,Fascati Pizza,40.69835547472359,-73.99252179997475,Pizza Place
1871,"Brooklyn Heights, Brooklyn",40.695863722724084,-73.99378225496424,MontyQ's Brick Oven Pizza,40.69436997583063,-73.99287901277606,Pizza Place
1918,"Cobble Hill, Brooklyn",40.687919722485574,-73.99856139218463,Luzzo's BK,40.69055503930633,-73.9953332077974,Pizza Place
1937,"Cobble Hill, Brooklyn",40.687919722485574,-73.99856139218463,Sam's Italian Cuisine,40.68582083666667,-73.9942546069965,Pizza Place
1955,"Cobble Hill, Brooklyn",40.687919722485574,-73.99856139218463,Brado,40.69045044404489,-73.99494165015247,Pizza Place
1983,"Cobble Hill, Brooklyn",40.687919722485574,-73.99856139218463,Francesco's,40.683608839043046,-73.99975123527463,Pizza Place
2038,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Brooklyn Pizza Market,40.682695629565806,-73.9931911856768,Pizza Place
2054,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,F&F Pizzeria,40.677342,-73.998162,Pizza Place
2075,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Giardini Pizza,40.679354,-73.995358,Pizza Place
2078,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Sal's Pizzeria,40.683751717511115,-73.99520790172392,Pizza Place
2090,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Via Roma Pizza Bar,40.678066512611316,-73.99792297920966,Pizza Place
2118,"Red Hook, Brooklyn",40.676253230250886,-74.0127589747356,Hoek Pizza,40.677961,-74.016816,Pizza Place
2133,"Red Hook, Brooklyn",40.676253230250886,-74.0127589747356,Marks Pizza,40.67886051971997,-74.01115833252301,Pizza Place
2153,"Gowanus, Brooklyn",40.673931143187154,-73.99444087145339,Table 87,40.670784223623315,-73.99148945604801,Pizza Place
2163,"Gowanus, Brooklyn",40.673931143187154,-73.99444087145339,F&F Pizzeria,40.677342,-73.998162,Pizza Place
2223,"Fort Greene, Brooklyn",40.68852726018977,-73.97290574369092,Not Ray's Pizza,40.68612065515834,-73.97406226761952,Pizza Place
2242,"Fort Greene, Brooklyn",40.68852726018977,-73.97290574369092,Graziella's,40.690500785798285,-73.96943770796737,Pizza Place
2261,"Fort Greene, Brooklyn",40.68852726018977,-73.97290574369092,Lean Crust Pizza,40.68657872312703,-73.97510773767324,Pizza Place
2297,"Park Slope, Brooklyn",40.67232052268197,-73.97705030183924,Pino's La Forchetta,40.67142190117441,-73.97783143365199,Pizza Place
2301,"Park Slope, Brooklyn",40.67232052268197,-73.97705030183924,Roma Pizza,40.674685130823676,-73.97532842248118,Pizza Place
